"URXPAR.Code.or.Value","URXPAR.Value.Description","URXPAR.Count","URXPAR.Cumulative","URXPAR.Skip.to.Item"
"0.07 to 39.67","Range of Values",2564,2564,NA
".","Missing",130,2694,NA
