"WBXF047.Code.or.Value","WBXF047.Value.Description","WBXF047.Count","WBXF047.Cumulative","WBXF047.Skip.to.Item"
"1414.2136 to 1414.2136","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
