"DR2IB12A.Code.or.Value","DR2IB12A.Value.Description","DR2IB12A.Count","DR2IB12A.Cumulative","DR2IB12A.Skip.to.Item"
"0 to 50.99","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
