"DR2TB12A.Code.or.Value","DR2TB12A.Value.Description","DR2TB12A.Count","DR2TB12A.Cumulative","DR2TB12A.Skip.to.Item"
"0 to 50.99","Range of Values",7453,7453,NA
".","Missing",2360,9813,NA
