"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",4143,4143,NA
"14","14 years or younger",16,4159,NA
"7777","Refused",0,4159,NA
"9999","Don't know",48,4207,NA
".","Missing",2,4209,NA
