"BAQ080C.Code.or.Value","BAQ080C.Value.Description","BAQ080C.Count","BAQ080C.Cumulative","BAQ080C.Skip.to.Item"
"1","Yes",18,18,NA
"2","No",397,415,NA
"7","Refused",0,415,NA
"9","Don't know",0,415,NA
".","Missing",3071,3486,NA
