"DRD350D.Code.or.Value","DRD350D.Value.Description","DRD350D.Count","DRD350D.Cumulative","DRD350D.Skip.to.Item"
"1","Yes",136,136,""
"2","No",1169,1305,"DRD350E"
".","Missing",9172,10477,""
