"TYXP235.Code.or.Value","TYXP235.Value.Description","TYXP235.Count","TYXP235.Cumulative","TYXP235.Skip.to.Item"
"-299 to -30","Range of Values",218,218,NA
".","Missing",8251,8469,NA
