"WHD080H.Code.or.Value","WHD080H.Value.Description","WHD080H.Count","WHD080H.Cumulative","WHD080H.Skip.to.Item"
"17","Joined a weight loss program such as weight watchers, jenny craig, tops, or overeaters anonymous",154,154,NA
".","Missing",5985,6139,NA
