"DRXITFAT.Code.or.Value","DRXITFAT.Value.Description","DRXITFAT.Count","DRXITFAT.Cumulative","DRXITFAT.Skip.to.Item"
"0 to 250.4","Range of Values",127147,127147,NA
".","Missing",693,127840,NA
