"DS2TVD.Code.or.Value","DS2TVD.Value.Description","DS2TVD.Count","DS2TVD.Cumulative","DS2TVD.Skip.to.Item"
"0.01 to 2500","Range of Values",1810,1810,NA
".","Missing",7734,9544,NA
