"DSDDAY2.Code.or.Value","DSDDAY2.Value.Description","DSDDAY2.Count","DSDDAY2.Cumulative","DSDDAY2.Skip.to.Item"
"1","Yes",4948,4948,NA
"2","No",2420,7368,NA
"7","Refused",0,7368,NA
"9","Don't know",11,7379,NA
".","Missing",2605,9984,NA
