"URXHCTT.Code.or.Value","URXHCTT.Value.Description","URXHCTT.Count","URXHCTT.Cumulative","URXHCTT.Skip.to.Item"
"0.021 to 56200","Range of Values",2335,2335,NA
".","Missing",127,2462,NA
