"LBDSCRSI.Code.or.Value","LBDSCRSI.Value.Description","LBDSCRSI.Count","LBDSCRSI.Cumulative","LBDSCRSI.Skip.to.Item"
"26.52 to 946.76","Range of Values",6255,6255,NA
".","Missing",489,6744,NA
