"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",20,20,NA
"2","No",6413,6433,NA
".","Missing",3689,10122,NA
