"DXXWDBMD.Code.or.Value","DXXWDBMD.Value.Description","DXXWDBMD.Count","DXXWDBMD.Cumulative","DXXWDBMD.Skip.to.Item"
"0 to 1.354","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
