"DR1ICAFF.Code.or.Value","DR1ICAFF.Value.Description","DR1ICAFF.Count","DR1ICAFF.Cumulative","DR1ICAFF.Skip.to.Item"
"0 to 2160","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
