"PFQ061H.Code.or.Value","PFQ061H.Value.Description","PFQ061H.Count","PFQ061H.Cumulative","PFQ061H.Skip.to.Item"
"1","No difficulty",2503,2503,NA
"2","Some difficulty",253,2756,NA
"3","Much difficulty",65,2821,NA
"4","Unable to do",39,2860,NA
"5","Do not do this activity",11,2871,NA
"7","Refused",0,2871,NA
"9","Don't know",1,2872,NA
".","Missing",6794,9666,NA
