"LBX167LA.Code.or.Value","LBX167LA.Value.Description","LBX167LA.Count","LBX167LA.Cumulative","LBX167LA.Skip.to.Item"
"1.3 to 21.3","Range of Values",1908,1908,NA
".","Missing",366,2274,NA
