"LBDALCSI.Code.or.Value","LBDALCSI.Value.Description","LBDALCSI.Count","LBDALCSI.Cumulative","LBDALCSI.Skip.to.Item"
"0.009 to 1.798","Range of Values",7246,7246,NA
".","Missing",840,8086,NA
