"URDMC1LC.Code.or.Value","URDMC1LC.Value.Description","URDMC1LC.Count","URDMC1LC.Cumulative","URDMC1LC.Skip.to.Item"
"0","At or above the detection limit",2297,2297,NA
"1","Below lower detection limit",465,2762,NA
".","Missing",224,2986,NA
