"PUD073.Code.or.Value","PUD073.Value.Description","PUD073.Count","PUD073.Cumulative","PUD073.Skip.to.Item"
"1","Yes",585,585,""
"2","No",960,1545,"End of Section"
".","Missing",8420,9965,""
