"CVAWS1.Code.or.Value","CVAWS1.Value.Description","CVAWS1.Count","CVAWS1.Cumulative","CVAWS1.Skip.to.Item"
"1.7 to 3.6","Range of Values",3437,3437,NA
".","Missing",1715,5152,NA
