"PAQ724o.Code.or.Value","PAQ724o.Value.Description","PAQ724o.Count","PAQ724o.Cumulative","PAQ724o.Skip.to.Item"
"15","LACROSSE",8,8,NA
".","Missing",9247,9255,NA
