"LBX4PA.Code.or.Value","LBX4PA.Value.Description","LBX4PA.Count","LBX4PA.Cumulative","LBX4PA.Skip.to.Item"
"3.2 to 15500","Range of Values",8171,8171,NA
".","Missing",1136,9307,NA
