"DS1TVB2.Code.or.Value","DS1TVB2.Value.Description","DS1TVB2.Count","DS1TVB2.Cumulative","DS1TVB2.Skip.to.Item"
"0.051 to 300","Range of Values",1272,1272,NA
".","Missing",8066,9338,NA
