"DS2ISFAT.Code.or.Value","DS2ISFAT.Value.Description","DS2ISFAT.Count","DS2ISFAT.Cumulative","DS2ISFAT.Skip.to.Item"
"0.023 to 6","Range of Values",144,144,NA
".","Missing",5382,5526,NA
