"LBDRPLSI.Code.or.Value","LBDRPLSI.Value.Description","LBDRPLSI.Count","LBDRPLSI.Cumulative","LBDRPLSI.Skip.to.Item"
"0.0045 to 2.0429","Range of Values",7127,7127,NA
"0.0031","Fill Value of Limit of Detection",141,7268,NA
".","Missing",714,7982,NA
