"VTQ240A.Code.or.Value","VTQ240A.Value.Description","VTQ240A.Count","VTQ240A.Cumulative","VTQ240A.Skip.to.Item"
"1","Yes",715,715,NA
"2","No",747,1462,NA
"7","Refused",2,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
