"PHQ050.Code.or.Value","PHQ050.Value.Description","PHQ050.Count","PHQ050.Cumulative","PHQ050.Skip.to.Item"
"1","Yes",6,6,NA
"2","No",9552,9558,NA
".","Missing",277,9835,NA
