"LBXPDELA.Code.or.Value","LBXPDELA.Value.Description","LBXPDELA.Count","LBXPDELA.Cumulative","LBXPDELA.Skip.to.Item"
"5.374 to 28100","Range of Values",1964,1964,NA
".","Missing",310,2274,NA
