"DXXHELI.Code.or.Value","DXXHELI.Value.Description","DXXHELI.Count","DXXHELI.Cumulative","DXXHELI.Skip.to.Item"
"1929.6 to 6568.1","Range of Values",4725,4725,NA
".","Missing",967,5692,NA
