"WTIREP52.Code.or.Value","WTIREP52.Value.Description","WTIREP52.Count","WTIREP52.Cumulative","WTIREP52.Skip.to.Item"
"0 to 236964.16066","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
