"DMDHRGND.Code.or.Value","DMDHRGND.Value.Description","DMDHRGND.Count","DMDHRGND.Cumulative","DMDHRGND.Skip.to.Item"
"1","Male",5597,5597,NA
"2","Female",4356,9953,NA
".","Missing",12,9965,NA
