"WBXP008.Code.or.Value","WBXP008.Value.Description","WBXP008.Count","WBXP008.Cumulative","WBXP008.Skip.to.Item"
"-102.7933 to 150.0474","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
