"DXXOSBMD.Code.or.Value","DXXOSBMD.Value.Description","DXXOSBMD.Count","DXXOSBMD.Cumulative","DXXOSBMD.Skip.to.Item"
"0.517 to 1.693","Range of Values",2135,2135,NA
".","Missing",1573,3708,NA
