"DXXL3BMD.Code.or.Value","DXXL3BMD.Value.Description","DXXL3BMD.Count","DXXL3BMD.Cumulative","DXXL3BMD.Skip.to.Item"
"0.388 to 1.873","Range of Values",6570,6570,NA
".","Missing",1615,8185,NA
