"DR2TZINC.Code.or.Value","DR2TZINC.Value.Description","DR2TZINC.Count","DR2TZINC.Cumulative","DR2TZINC.Skip.to.Item"
"0.05 to 390.74","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
