"URXBP3.Code.or.Value","URXBP3.Value.Description","URXBP3.Count","URXBP3.Cumulative","URXBP3.Skip.to.Item"
"0.28 to 92900","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
