"DR1TVD.Code.or.Value","DR1TVD.Value.Description","DR1TVD.Count","DR1TVD.Cumulative","DR1TVD.Skip.to.Item"
"0 to 79.3","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
