"DS1DSCNT.Code.or.Value","DS1DSCNT.Value.Description","DS1DSCNT.Count","DS1DSCNT.Cumulative","DS1DSCNT.Skip.to.Item"
"0 to 17","Range of Values",8488,8488,NA
".","Missing",1056,9544,NA
