"CKQ040.Code.or.Value","CKQ040.Value.Description","CKQ040.Count","CKQ040.Cumulative","CKQ040.Skip.to.Item"
"1","Yes",236,236,NA
"2","No",160,396,NA
"7","Refused",0,396,NA
"9","Don't know",0,396,NA
".","Missing",6153,6549,NA
