"AUAEXSTS.Code.or.Value","AUAEXSTS.Value.Description","AUAEXSTS.Count","AUAEXSTS.Cumulative","AUAEXSTS.Skip.to.Item"
"1","Complete",1732,1732,NA
"2","Partial",53,1785,NA
"3","Not done",104,1889,NA
".","Missing",0,1889,NA
