"VIXKRM1.Code.or.Value","VIXKRM1.Value.Description","VIXKRM1.Count","VIXKRM1.Cumulative","VIXKRM1.Skip.to.Item"
"6.79 to 9.95","Range of Values",6432,6432,NA
"88","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
