"DXXLAA.Code.or.Value","DXXLAA.Value.Description","DXXLAA.Count","DXXLAA.Cumulative","DXXLAA.Skip.to.Item"
"54.36 to 382.31","Range of Values",5347,5347,NA
".","Missing",686,6033,NA
