"VIXKRMM.Code.or.Value","VIXKRMM.Value.Description","VIXKRMM.Count","VIXKRMM.Cumulative","VIXKRMM.Skip.to.Item"
"6.39 to 9.45","Range of Values",6429,6429,NA
"88","Could not obtain",98,6527,NA
".","Missing",453,6980,NA
