"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"0.84 to 4094.88","Range of Values",3093,3093,NA
".","Missing",236,3329,NA
