"HOQ065.Code.or.Value","HOQ065.Value.Description","HOQ065.Count","HOQ065.Cumulative","HOQ065.Skip.to.Item"
"1","Owned or being bought",6279,6279,NA
"2","Rented",3737,10016,NA
"3","Other arrangement",216,10232,NA
"7","Refused",4,10236,NA
"9","Don't know",3,10239,NA
".","Missing",109,10348,NA
