"DSQTSUGR.Code.or.Value","DSQTSUGR.Value.Description","DSQTSUGR.Count","DSQTSUGR.Cumulative","DSQTSUGR.Skip.to.Item"
"0.01 to 34.51","Range of Values",1484,1484,NA
".","Missing",8691,10175,NA
