"DIQ180.Code.or.Value","DIQ180.Value.Description","DIQ180.Count","DIQ180.Cumulative","DIQ180.Skip.to.Item"
"1","Yes",2794,2794,NA
"2","No",3805,6599,NA
"7","Refused",1,6600,NA
"9","Don't know",222,6822,NA
".","Missing",3287,10109,NA
