"DIQ175A.Code.or.Value","DIQ175A.Value.Description","DIQ175A.Count","DIQ175A.Cumulative","DIQ175A.Skip.to.Item"
"10","Family history",1165,1165,NA
"77","Refused",0,1165,NA
"99","Don't know",2,1167,NA
".","Missing",8197,9364,NA
