"DR1ILINE.Code.or.Value","DR1ILINE.Value.Description","DR1ILINE.Count","DR1ILINE.Cumulative","DR1ILINE.Skip.to.Item"
"1 to 61","Range of Values",126503,126503,NA
".","Missing",0,126503,NA
