"MIAINTRP.Code.or.Value","MIAINTRP.Value.Description","MIAINTRP.Count","MIAINTRP.Cumulative","MIAINTRP.Skip.to.Item"
"1","Yes",36,36,NA
"2","No",6397,6433,NA
".","Missing",3689,10122,NA
