"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",2056,2056,NA
"2","No",6323,8379,NA
"7","Refused",20,8399,NA
"9","Don't know",23,8422,NA
".","Missing",2115,10537,NA
