"URXP02.Code.or.Value","URXP02.Value.Description","URXP02.Count","URXP02.Cumulative","URXP02.Skip.to.Item"
"59.4 to 268104.4","Range of Values",2531,2531,NA
".","Missing",187,2718,NA
