"BPD110A.Code.or.Value","BPD110A.Value.Description","BPD110A.Count","BPD110A.Cumulative","BPD110A.Skip.to.Item"
"1","Yes",1276,1276,NA
"2","No",2790,4066,NA
"7","Refused",2,4068,NA
"9","Don't know",6,4074,NA
".","Missing",2560,6634,NA
