"WTMREP37.Code.or.Value","WTMREP37.Value.Description","WTMREP37.Count","WTMREP37.Cumulative","WTMREP37.Skip.to.Item"
"0 to 262556.46962","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
