"DXXGPFAT.Code.or.Value","DXXGPFAT.Value.Description","DXXGPFAT.Count","DXXGPFAT.Cumulative","DXXGPFAT.Skip.to.Item"
"12.8 to 58.6","Range of Values",5426,5426,NA
".","Missing",607,6033,NA
