"PAD630.Code.or.Value","PAD630.Value.Description","PAD630.Count","PAD630.Cumulative","PAD630.Skip.to.Item"
"10 to 1440","Range of Values",2629,2629,NA
"7777","Refused",0,2629,NA
"9999","Don't know",4,2633,NA
".","Missing",6726,9359,NA
