"DR1IP205.Code.or.Value","DR1IP205.Value.Description","DR1IP205.Count","DR1IP205.Cumulative","DR1IP205.Skip.to.Item"
"0 to 1.781","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
