"LBCBR9LA.Code.or.Value","LBCBR9LA.Value.Description","LBCBR9LA.Count","LBCBR9LA.Cumulative","LBCBR9LA.Skip.to.Item"
"0.1131 to 3.67","Range of Values",251,251,NA
".","Missing",0,251,NA
