"DSD122Q.Code.or.Value","DSD122Q.Value.Description","DSD122Q.Count","DSD122Q.Cumulative","DSD122Q.Skip.to.Item"
"0.06 to 54","Range of Values",8261,8261,NA
"777777","Refused",0,8261,NA
"999999","Don't know",11,8272,NA
".","Missing",801,9073,NA
