"BIXS043K.Code.or.Value","BIXS043K.Value.Description","BIXS043K.Count","BIXS043K.Cumulative","BIXS043K.Skip.to.Item"
"183.22 to 994.57","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
