"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1579,1579,NA
"1","Below lower detection limit",1130,2709,NA
"2","Detectable result and exceeds the calibrated range of assay",0,2709,NA
".","Missing",585,3294,NA
